Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 34.91      4.13     4.13 41062400     0.00     0.00  __mat_elastic_MOD_mat_elast_f
 17.92      6.25     2.12     3208     0.00     0.00  __solver_MOD_solve_leapfrog
 17.41      8.31     2.06 82124800     0.00     0.00  __fields_class_MOD_field_get_elem_sub
 13.10      9.86     1.55 41062400     0.00     0.00  __fields_class_MOD_field_add_elem_2
  6.34     10.61     0.75 41062400     0.00     0.00  __mat_elastic_MOD_mat_elast_add_25d_f
  3.55     11.03     0.42     3208     0.00     0.00  __solver_MOD_compute_fint
  2.96     11.38     0.35                             _init
  1.10     11.51     0.13   435203     0.00     0.00  __spec_grid_MOD___copy_spec_grid_Sem_grid_type
  0.59     11.58     0.07 41062400     0.00     0.00  __mat_gen_MOD_mat_fint
  0.34     11.62     0.04 10560033     0.00     0.00  __utils_MOD_invert2
  0.25     11.65     0.03 84774401     0.00     0.00  __prop_mat_MOD_mat_iskind_elem
  0.25     11.68     0.03  1689600     0.00     0.00  __mxmlib_MOD_mxm
  0.25     11.71     0.03     6418     0.00     0.00  __bc_dynflt_MOD___copy_bc_dynflt_Bc_dynflt_input_type
  0.17     11.73     0.02   422400     0.00     0.00  __mat_gen_MOD_mat_stress_dv
  0.17     11.75     0.02     3208     0.00     0.00  __bc_dynflt_MOD_bc_dynflt_apply
  0.08     11.76     0.01   921604     0.00     0.00  __prop_mat_MOD_mat_getprop_e
  0.08     11.77     0.01   422401     0.00     0.00  __spec_grid_MOD_se_inversejacobian_e
  0.08     11.78     0.01   422400     0.00     0.00  __mat_gen_MOD_mat_strain_gen
  0.08     11.79     0.01    64000     0.00     0.00  __prop_mat_MOD_mat_setprop_elem_from_input
  0.08     11.80     0.01    12800     0.00     0.00  __fields_class_MOD_field_add_elem_1
  0.08     11.81     0.01     3209     0.00     0.00  __bc_dynflt_twf_MOD_twf_mu
  0.08     11.82     0.01      132     0.00     0.00  __stdio_MOD_io_field_node_single
  0.08     11.83     0.01        1     0.01    11.48  MAIN__
  0.00     11.83     0.00 41510400     0.00     0.00  __mat_elastic_MOD_mat_iselastic
  0.00     11.83     0.00 41510400     0.00     0.00  __mat_kelvin_voigt_MOD_mat_iskelvinvoigt
  0.00     11.83     0.00   921604     0.00     0.00  __prop_elem_MOD_prop_get_1
  0.00     11.83     0.00   844800     0.00     0.00  __fields_class_MOD_field_get_elem_2
  0.00     11.83     0.00   464423     0.00     0.00  __fem_grid_MOD_fe_getelementcoord
  0.00     11.83     0.00   435200     0.00     0.00  __mat_damage_MOD_mat_isdamage
  0.00     11.83     0.00   435200     0.00     0.00  __mat_plastic_MOD_mat_isplastic
  0.00     11.83     0.00   435200     0.00     0.00  __mat_visco_MOD_mat_isvisco
  0.00     11.83     0.00   422400     0.00     0.00  __fields_class_MOD_field_strain_elem
  0.00     11.83     0.00   422400     0.00     0.00  __mat_elastic_MOD_mat_elast_stress
  0.00     11.83     0.00   102400     0.00     0.00  __utils_MOD_sub2ind_b
  0.00     11.83     0.00    98169     0.00     0.00  __generic_list_MOD_li_associated
  0.00     11.83     0.00    66653     0.00     0.00  __generic_list_MOD_li_remove_head
  0.00     11.83     0.00    64480     0.00     0.00  __utils_MOD_sub2ind
  0.00     11.83     0.00    64000     0.00     0.00  __distribution_cd_MOD_dist_cd_init_2
  0.00     11.83     0.00    64000     0.00     0.00  __distribution_cd_MOD_dist_cd_isdist
  0.00     11.83     0.00    64000     0.00     0.00  __prop_elem_MOD_prop_set_cd1
  0.00     11.83     0.00    64000     0.00     0.00  __prop_elem_MOD_prop_size
  0.00     11.83     0.00    53608     0.00     0.00  __generic_list_MOD_li_add_to_head
  0.00     11.83     0.00    32480     0.00     0.00  __generic_list_MOD_li_get_next
  0.00     11.83     0.00    25840     0.00     0.00  __fem_grid_MOD_fe_getedgeconn
  0.00     11.83     0.00    25600     0.00     0.00  __spec_grid_MOD_se_elem_coord
  0.00     11.83     0.00    13524     0.00     0.00  __spec_grid_MOD_se_inquire
  0.00     11.83     0.00    13049     0.00     0.00  __generic_list_MOD_li_init_list
  0.00     11.83     0.00    13041     0.00     0.00  __fem_grid_MOD_fe_getvertexconn
  0.00     11.83     0.00    13041     0.00     0.00  __generic_list_MOD_li_get_len
  0.00     11.83     0.00    12832     0.00     0.00  __bc_gen_MOD___copy_bc_gen_Bc_type
  0.00     11.83     0.00    12802     0.00     0.00  __spec_grid_MOD_se_volumeweights_e
  0.00     11.83     0.00    12800     0.00     0.00  __fem_grid_MOD_fe_getelementsizes
  0.00     11.83     0.00    12800     0.00     0.00  __mat_elastic_MOD_mat_elast_init_elem_prop
  0.00     11.83     0.00    12800     0.00     0.00  __mat_elastic_MOD_mat_iselastichomogeneous
  0.00     11.83     0.00    12800     0.00     0.00  __mat_mass_MOD_mat_mass_init_elem_prop
  0.00     11.83     0.00    12800     0.00     0.00  __prop_mat_MOD_mat_isprop_input
  0.00     11.83     0.00    12800     0.00     0.00  __prop_mat_MOD_mat_setprop_elem_ptr_input
  0.00     11.83     0.00     6416     0.00     0.00  __bc_abso_MOD_bc_abso_apply
  0.00     11.83     0.00     3600     0.00     0.00  __prop_elem_MOD_prop_get_ij_1
  0.00     11.83     0.00     3600     0.00     0.00  __prop_mat_MOD_mat_getprop_ij
  0.00     11.83     0.00     3209     0.00     0.00  __bc_dynflt_MOD_bc_dynflt_write
  0.00     11.83     0.00     3209     0.00     0.00  __bc_dynflt_swf_MOD_swf_mu
  0.00     11.83     0.00     3209     0.00     0.00  __bc_gen_MOD_bc_write
  0.00     11.83     0.00     3209     0.00     0.00  __plot_gen_MOD_plot_field
  0.00     11.83     0.00     3209     0.00     0.00  __receivers_MOD_rec_store
  0.00     11.83     0.00     3208     0.00     0.00  __bc_dirneu_MOD_bc_dirneu_apply
  0.00     11.83     0.00     3208     0.00     0.00  __bc_dynflt_normal_MOD_normal_getsigma
  0.00     11.83     0.00     3208     0.00     0.00  __bc_dynflt_normal_MOD_normal_update
  0.00     11.83     0.00     3208     0.00     0.00  __bc_dynflt_swf_MOD_swf_update_state
  0.00     11.83     0.00     3208     0.00     0.00  __bc_gen_MOD_bc_apply
  0.00     11.83     0.00     3208     0.00     0.00  __solver_MOD_solve
  0.00     11.83     0.00     3208     0.00     0.00  __sources_MOD_so_add
  0.00     11.83     0.00     1200     0.00     0.00  __spec_grid_MOD_se_jacobian_eij
  0.00     11.83     0.00      960     0.00     0.00  __generic_list_MOD_li_get_head
  0.00     11.83     0.00      480     0.00     0.00  __spec_grid_MOD_se_get_edge_nodes
  0.00     11.83     0.00      300     0.00     0.00  __gll_MOD_hgll
  0.00     11.83     0.00      141     0.00     0.00  __stdio_MOD_io_new_unit
  0.00     11.83     0.00       66     0.00     0.00  __mat_gen_MOD_mat_stress
  0.00     11.83     0.00       66     0.00     0.00  __stdio_MOD_io_field_node_multi
  0.00     11.83     0.00       53     0.00     0.00  __elem_q4_MOD_q4_getshape
  0.00     11.83     0.00       43     0.00     0.00  __elem_q4_MOD_q4_getdershape
  0.00     11.83     0.00       33     0.00     0.00  __mat_damage_MOD_mat_anydamage
  0.00     11.83     0.00       33     0.00     0.00  __mat_gen_MOD_mat_write
  0.00     11.83     0.00       33     0.00     0.00  __mat_plastic_MOD_mat_anyplastic
  0.00     11.83     0.00       28     0.00     0.00  __fem_grid_MOD___copy_fem_grid_Fem_grid_type
  0.00     11.83     0.00       26     0.00     0.00  __memory_info_MOD_storearray
  0.00     11.83     0.00       25     0.00     0.00  __fem_grid_MOD_fe_getdershape
  0.00     11.83     0.00       25     0.00     0.00  __fem_grid_MOD_fe_getshape
  0.00     11.83     0.00       25     0.00     0.00  __gll_MOD_hdgll
  0.00     11.83     0.00       19     0.00     0.00  __distribution_cd_MOD_dist_cd_read
  0.00     11.83     0.00       19     0.00     0.00  __generic_list_MOD_li_check_list
  0.00     11.83     0.00       19     0.00     0.00  __utils_MOD_string_setopt
  0.00     11.83     0.00       18     0.00     0.00  __memory_info_MOD_memo_echo
  0.00     11.83     0.00       13     0.00     0.00  __distribution_cd_MOD_dist_cd_init_1
  0.00     11.83     0.00       10     0.00     0.00  __fem_grid_MOD_fe_find_point
  0.00     11.83     0.00       10     0.00     0.00  __spec_grid_MOD_se_find_nearest_node
  0.00     11.83     0.00       10     0.00     0.00  __spec_grid_MOD_se_find_point
  0.00     11.83     0.00       10     0.00     0.00  __spec_grid_MOD_se_init_interpol
  0.00     11.83     0.00       10     0.00     0.00  __spec_grid_MOD_se_node_belongs_to_2
  0.00     11.83     0.00        6     0.00     0.00  __plot_gmt_MOD_plot_gmt_init
  0.00     11.83     0.00        5     0.00     0.00  __prop_mat_MOD_mat_setprop_input
  0.00     11.83     0.00        5     0.00     0.00  __utils_MOD_drank
  0.00     11.83     0.00        4     0.00     0.00  __bc_periodic_MOD_bc_perio_intersects
  0.00     11.83     0.00        4     0.00     0.00  __spec_grid_MOD_bc_get_normal_and_weights
  0.00     11.83     0.00        4     0.00     0.00  __spec_grid_MOD_bc_inquire
  0.00     11.83     0.00        4     0.00     0.00  __spec_grid_MOD_bc_tag_exists
  0.00     11.83     0.00        3     0.00     0.00  __fields_class_MOD___copy_fields_class_Fields_type
  0.00     11.83     0.00        3     0.00     0.00  __prop_mat_MOD_mat_setkind
  0.00     11.83     0.00        3     0.00     0.00  __time_evol_MOD_time_gettimestep
  0.00     11.83     0.00        2     0.00     0.00  __bc_abso_MOD_bc_abso_init
  0.00     11.83     0.00        2     0.00     0.00  __bc_abso_MOD_bc_abso_read
  0.00     11.83     0.00        2     0.00     0.00  __echo_MOD_echo_banner
  0.00     11.83     0.00        2     0.00     0.00  __fem_grid_MOD_fe_getnodesperelement
  0.00     11.83     0.00        2     0.00     0.00  __plot_postscript_MOD_plot_ps
  0.00     11.83     0.00        2     0.00     0.00  __rcmlib_MOD_level_set
  0.00     11.83     0.00        2     0.00     0.00  __time_evol_MOD_time_getcoefa2vrhs
  0.00     11.83     0.00        2     0.00     0.00  __time_evol_MOD_time_getnbtimesteps
  0.00     11.83     0.00        1     0.00     0.00  __bc_dirneu_MOD_bc_dirneu_init
  0.00     11.83     0.00        1     0.00     0.00  __bc_dirneu_MOD_bc_dirneu_read
  0.00     11.83     0.00        1     0.00     0.00  __bc_dynflt_MOD_bc_dynflt_init
  0.00     11.83     0.00        1     0.00     0.00  __bc_dynflt_MOD_bc_dynflt_read
  0.00     11.83     0.00        1     0.00     0.00  __bc_dynflt_normal_MOD_normal_init
  0.00     11.83     0.00        1     0.00     0.00  __bc_dynflt_normal_MOD_normal_read
  0.00     11.83     0.00        1     0.00     0.00  __bc_dynflt_swf_MOD_swf_init
  0.00     11.83     0.00        1     0.00     0.00  __bc_dynflt_swf_MOD_swf_read
  0.00     11.83     0.00        1     0.00     0.00  __bc_dynflt_twf_MOD_twf_read
  0.00     11.83     0.00        1     0.00     0.00  __bc_gen_MOD_bc_init
  0.00     11.83     0.00        1     0.00     0.00  __bc_gen_MOD_bc_read
  0.00     11.83     0.00        1     0.00     0.00  __echo_MOD_echo_set
  0.00     11.83     0.00        1     0.00     0.00  __fem_grid_MOD_fe_getnbelements
