Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 35.10      4.38     4.38 41062400     0.00     0.00  __mat_elastic_MOD_mat_elast_f
 22.36      7.17     2.79 82124800     0.00     0.00  __fields_class_MOD_field_get_elem_sub
 17.39      9.34     2.17     3208     0.00     0.00  __solver_MOD_solve_leapfrog
 10.34     10.63     1.29 41062400     0.00     0.00  __fields_class_MOD_field_add_elem_2
  5.85     11.36     0.73 41062400     0.00     0.00  __mat_elastic_MOD_mat_elast_add_25d_f
  2.88     11.72     0.36     3208     0.00     0.00  __solver_MOD_compute_fint
  2.16     11.99     0.27                             _init
  0.96     12.11     0.12   435203     0.00     0.00  __spec_grid_MOD___copy_spec_grid_Sem_grid_type
  0.48     12.17     0.06 41062400     0.00     0.00  __mat_gen_MOD_mat_fint
  0.48     12.23     0.06   422400     0.00     0.00  __fields_class_MOD_field_strain_elem
  0.48     12.29     0.06     3208     0.00     0.00  __bc_dynflt_MOD_bc_dynflt_apply
  0.40     12.34     0.05 84774401     0.00     0.00  __prop_mat_MOD_mat_iskind_elem
  0.24     12.37     0.03     3209     0.00     0.00  __plot_gen_MOD_plot_field
  0.16     12.39     0.02 10560033     0.00     0.00  __utils_MOD_invert2
  0.16     12.41     0.02  1689600     0.00     0.00  __mxmlib_MOD_mxm
  0.08     12.42     0.01   921604     0.00     0.00  __prop_elem_MOD_prop_get_1
  0.08     12.43     0.01   921604     0.00     0.00  __prop_mat_MOD_mat_getprop_e
  0.08     12.44     0.01   844800     0.00     0.00  __fields_class_MOD_field_get_elem_2
  0.08     12.45     0.01   422401     0.00     0.00  __spec_grid_MOD_se_inversejacobian_e
  0.08     12.46     0.01   422400     0.00     0.00  __mat_elastic_MOD_mat_elast_stress
  0.08     12.47     0.01     6418     0.00     0.00  __bc_dynflt_MOD___copy_bc_dynflt_Bc_dynflt_input_type
  0.08     12.48     0.01     3209     0.00     0.00  __bc_dynflt_swf_MOD_swf_mu
  0.00     12.48     0.00 41510400     0.00     0.00  __mat_elastic_MOD_mat_iselastic
  0.00     12.48     0.00 41510400     0.00     0.00  __mat_kelvin_voigt_MOD_mat_iskelvinvoigt
  0.00     12.48     0.00   464423     0.00     0.00  __fem_grid_MOD_fe_getelementcoord
  0.00     12.48     0.00   435200     0.00     0.00  __mat_damage_MOD_mat_isdamage
  0.00     12.48     0.00   435200     0.00     0.00  __mat_plastic_MOD_mat_isplastic
  0.00     12.48     0.00   435200     0.00     0.00  __mat_visco_MOD_mat_isvisco
  0.00     12.48     0.00   422400     0.00     0.00  __mat_gen_MOD_mat_strain_gen
  0.00     12.48     0.00   422400     0.00     0.00  __mat_gen_MOD_mat_stress_dv
